FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;Mental health-related presentations;Queensland;SA4;SA4319;Wide Bay;Number;3271
2014–15;Mental health-related presentations;Queensland;SA4;SA4319;Wide Bay;Rate (per 10,000 population);113
2014–15;Mental health-related presentations;Western Australia;SA4;SA4501;Bunbury;Number;1772
2014–15;Mental health-related presentations;Western Australia;SA4;SA4501;Bunbury;Rate (per 10,000 population);100
2014–15;Mental health-related presentations;Western Australia;SA4;SA4502;Mandurah;Number;302
2014–15;Mental health-related presentations;Western Australia;SA4;SA4502;Mandurah;Rate (per 10,000 population);31
2014–15;Mental health-related presentations;Western Australia;SA4;SA4503;Perth - Inner;Number;2341
2014–15;Mental health-related presentations;Western Australia;SA4;SA4503;Perth - Inner;Rate (per 10,000 population);132
2014–15;Mental health-related presentations;Western Australia;SA4;SA4504;Perth - North East;Number;2682
2014–15;Mental health-related presentations;Western Australia;SA4;SA4504;Perth - North East;Rate (per 10,000 population);106
2014–15;Mental health-related presentations;Western Australia;SA4;SA4505;Perth - North West;Number;5981
2014–15;Mental health-related presentations;Western Australia;SA4;SA4505;Perth - North West;Rate (per 10,000 population);109
2014–15;Mental health-related presentations;Western Australia;SA4;SA4506;Perth - South East;Number;5421
2014–15;Mental health-related presentations;Western Australia;SA4;SA4506;Perth - South East;Rate (per 10,000 population);110
2014–15;Mental health-related presentations;Western Australia;SA4;SA4507;Perth - South West;Number;4484
2014–15;Mental health-related presentations;Western Australia;SA4;SA4507;Perth - South West;Rate (per 10,000 population);110
2014–15;Mental health-related presentations;Western Australia;SA4;SA4508;Western Australia - Outback;Number;352
2014–15;Mental health-related presentations;Western Australia;SA4;SA4508;Western Australia - Outback;Rate (per 10,000 population);15
2014–15;Mental health-related presentations;Western Australia;SA4;SA4509;Western Australia - Wheat Belt;Number;1274
2014–15;Mental health-related presentations;Western Australia;SA4;SA4509;Western Australia - Wheat Belt;Rate (per 10,000 population);92
2014–15;Mental health-related presentations;South Australia;SA4;SA4401;Adelaide - Central and Hills;Number;3091
2014–15;Mental health-related presentations;South Australia;SA4;SA4401;Adelaide - Central and Hills;Rate (per 10,000 population);105
2014–15;Mental health-related presentations;South Australia;SA4;SA4402;Adelaide - North;Number;5604
2014–15;Mental health-related presentations;South Australia;SA4;SA4402;Adelaide - North;Rate (per 10,000 population);134
2014–15;Mental health-related presentations;South Australia;SA4;SA4403;Adelaide - South;Number;5489
2014–15;Mental health-related presentations;South Australia;SA4;SA4403;Adelaide - South;Rate (per 10,000 population);153
2014–15;Mental health-related presentations;South Australia;SA4;SA4404;Adelaide - West;Number;3326
2014–15;Mental health-related presentations;South Australia;SA4;SA4404;Adelaide - West;Rate (per 10,000 population);144
2014–15;Mental health-related presentations;South Australia;SA4;SA4405;Barossa - Yorke - Mid North;Number;760
